id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
30,offenhuber d.,"<table><tr><td>Authors:</td><td>offenhuber d.; auinger s.; seitinger s.; muijs r.</td></tr><tr><td>Title:</td><td>los angeles noise array—planning and design lessons from a noise sensing network</td></tr><tr><td>Source:</td><td>[no source], 47(4)</td></tr></table>",https://doi.org/10.1177/2399808318792901,-0.6941,-1.0147,5,2,3
31,boeing g.,"<table><tr><td>Authors:</td><td>boeing g.</td></tr><tr><td>Title:</td><td>a multi-scale analysis of 27,000 urban street networks: every us city, town, urbanized area, and zillow neighborhood</td></tr><tr><td>Source:</td><td>[no source], 47(4)</td></tr></table>",https://doi.org/10.1177/2399808318784595,-0.4324,0.5575,5,110,30
32,tselios v.,"<table><tr><td>Authors:</td><td>tselios v.; stathakis d.</td></tr><tr><td>Title:</td><td>exploring regional and urban clusters and patterns in europe using satellite observed lighting</td></tr><tr><td>Source:</td><td>[no source], 47(4)</td></tr></table>",https://doi.org/10.1177/2399808318788567,-0.4474,-0.4614,2,112,14
33,zhang t.,"<table><tr><td>Authors:</td><td>zhang t.; chen s.s.; li g.</td></tr><tr><td>Title:</td><td>exploring the relationships between urban form metrics and the vegetation biomass loss under urban expansion in china</td></tr><tr><td>Source:</td><td>[no source], 47(3)</td></tr></table>",https://doi.org/10.1177/2399808318816993,-0.0392,-0.5608,6,178,20
34,comber a. (a),"<table><tr><td>Authors:</td><td>comber a.; chi k.; huy m.q.; nguyen q.; lu b.; phe h.h.; harris p.</td></tr><tr><td>Title:</td><td>distance metric choice can both reduce and induce collinearity in geographically weighted regression</td></tr><tr><td>Source:</td><td>[no source], 47(3)</td></tr></table>",https://doi.org/10.1177/2399808318784017,-0.0901,-0.5402,2,160,43
35,tepe e.,"<table><tr><td>Authors:</td><td>tepe e.; guldmann j.-m.</td></tr><tr><td>Title:</td><td>spatio-temporal multinomial autologistic modeling of land-use change: a parcel-level approach</td></tr><tr><td>Source:</td><td>[no source], 47(3)</td></tr></table>",https://doi.org/10.1177/2399808318786511,-0.0181,-0.6772,6,48,11
36,pafi m.,"<table><tr><td>Authors:</td><td>pafi m.; chalkias c.; stathakis d.</td></tr><tr><td>Title:</td><td>a cost-effective method for tranquility mapping using open environmental data</td></tr><tr><td>Source:</td><td>[no source], 47(3)</td></tr></table>",https://doi.org/10.1177/2399808318779084,-0.1037,-0.2462,5,59,11
37,scheuer s.,"<table><tr><td>Authors:</td><td>scheuer s.; haase d.; haase a.; kabisch n.; wolff m.; schwarz n.; großmann k.</td></tr><tr><td>Title:</td><td>combining tacit knowledge elicitation with the silverknets tool and random forests – the example of residential housing choices in leipzig</td></tr><tr><td>Source:</td><td>[no source], 47(3)</td></tr></table>",https://doi.org/10.1177/2399808318777500,0.0165,-0.4652,2,58,18
38,usui h.,"<table><tr><td>Authors:</td><td>usui h.; perez j.</td></tr><tr><td>Title:</td><td>are patterns of vacant lots random? evidence from empirical spatiotemporal analysis in chiba prefecture, east of tokyo</td></tr><tr><td>Source:</td><td>[no source], 49(3)</td></tr></table>",https://doi.org/10.1177/2399808320956656,0.0059,-0.3287,6,91,14
39,zhou j.,"<table><tr><td>Authors:</td><td>zhou j.; murphy e.; corcoran j.</td></tr><tr><td>Title:</td><td>integrating road carrying capacity and traffic congestion into the excess commuting framework: the case of los angeles</td></tr><tr><td>Source:</td><td>[no source], 47(1)</td></tr></table>",https://doi.org/10.1177/2399808318773762,-1.2586,-0.1388,8,21,24
40,raimbault j.,"<table><tr><td>Authors:</td><td>raimbault j.</td></tr><tr><td>Title:</td><td>indirect evidence of network effects in a system of cities</td></tr><tr><td>Source:</td><td>[no source], 47(1)</td></tr></table>",https://doi.org/10.1177/2399808318774335,-0.3611,-0.4401,2,30,15
41,tang b.-s.,"<table><tr><td>Authors:</td><td>tang b.-s.; wong k.t.</td></tr><tr><td>Title:</td><td>assessing externality: successive event studies on market impacts of new housing development on an old residential neighbourhood</td></tr><tr><td>Source:</td><td>[no source], 47(1)</td></tr></table>",https://doi.org/10.1177/2399808318774333,-0.4599,-1.1377,5,16,13
42,masouman a.,"<table><tr><td>Authors:</td><td>masouman a.; harvie c.</td></tr><tr><td>Title:</td><td>forecasting, impact analysis and uncertainty propagation in regional integrated models: a case study of australia</td></tr><tr><td>Source:</td><td>[no source], 47(1)</td></tr></table>",https://doi.org/10.1177/2399808318767128,-1.2142,-0.471,8,2,2
43,beck a.,"<table><tr><td>Authors:</td><td>beck a.; long g.; boyd d.s.; rosser j.f.; morley j.; duffield r.; sanderson m.; robinson d.</td></tr><tr><td>Title:</td><td>automated classification metrics for energy modelling of residential buildings in the uk with open algorithms</td></tr><tr><td>Source:</td><td>[no source], 47(1)</td></tr></table>",https://doi.org/10.1177/2399808318762436,0.5275,1.2179,3,69,9
44,logan j.r.,"<table><tr><td>Authors:</td><td>logan j.r.; graziul c.; frey n.</td></tr><tr><td>Title:</td><td>neighborhood formation in st. louis, 1930</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318801958,-1.2485,-0.557,7,35,17
45,jones k.,"<table><tr><td>Authors:</td><td>jones k.; manley d.; johnston r.; owen d.</td></tr><tr><td>Title:</td><td>modelling residential segregation as unevenness and clustering: a multilevel modelling approach incorporating spatial dependence and tackling the maup</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318782703,-0.9932,-0.5014,7,106,29
46,arribas-bel d.,"<table><tr><td>Authors:</td><td>arribas-bel d.; bakens j.</td></tr><tr><td>Title:</td><td>spatial dynamics of cultural diversity in the netherlands</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318783748,-1.067,-0.4927,7,107,7
47,barros j.,"<table><tr><td>Authors:</td><td>barros j.; feitosa f.f.</td></tr><tr><td>Title:</td><td>uneven geographies: exploring the sensitivity of spatial indices of residential segregation</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318760572,-1.2546,-0.5879,7,33,13
48,kramer r.,"<table><tr><td>Authors:</td><td>kramer r.</td></tr><tr><td>Title:</td><td>testing the role of barriers in shaping segregation profiles: the importance of visualizing the local neighborhood</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318766067,-0.9758,-0.3455,7,93,21
49,arcaya m.c.,"<table><tr><td>Authors:</td><td>arcaya m.c.; schwartz g.; subramanian s.v.</td></tr><tr><td>Title:</td><td>a multi-level modeling approach to understanding residential segregation in the united states</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318760858,-1.2396,-0.5761,7,40,15
50,clark w.a.v.,"<table><tr><td>Authors:</td><td>clark w.a.v.; östh j.</td></tr><tr><td>Title:</td><td>measuring isolation across space and over time with new tools: evidence from californian metropolitan regions</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808318756642,-1.4089,-0.6102,7,36,25
51,harris r. (a),"<table><tr><td>Authors:</td><td>harris r.; owen d.</td></tr><tr><td>Title:</td><td>implementing a multilevel index of dissimilarity in r with a case study of the changing scales of residential ethnic segregation in england and wales</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808317748328,-1.1698,-0.4279,7,34,17
52,ellis m.,"<table><tr><td>Authors:</td><td>ellis m.; wright r.; fiorio l.; holloway s.</td></tr><tr><td>Title:</td><td>predicting neighborhood racial change in large us metropolitan areas, 1990–2010</td></tr><tr><td>Source:</td><td>[no source], 45(6)</td></tr></table>",https://doi.org/10.1177/2399808317744558,-1.3712,-0.5954,7,17,12
53,chen y.-j.,"<table><tr><td>Authors:</td><td>chen y.-j.; matsuoka r.h.; liang t.-m.</td></tr><tr><td>Title:</td><td>urban form, building characteristics, and residential electricity consumption: a case study in tainan city</td></tr><tr><td>Source:</td><td>[no source], 45(5)</td></tr></table>",https://doi.org/10.1177/2399808317690150,0.6594,0.2085,8,7,10
54,birenboim a.,"<table><tr><td>Authors:</td><td>birenboim a.</td></tr><tr><td>Title:</td><td>the influence of urban environments on our subjective momentary experiences</td></tr><tr><td>Source:</td><td>[no source], 45(5)</td></tr></table>",https://doi.org/10.1177/2399808317690149,-0.489,0.2007,3,60,21
55,liu c. (a),"<table><tr><td>Authors:</td><td>liu c.; huang s.; xu p.; peng z.-r.</td></tr><tr><td>Title:</td><td>exploring an integrated urban carbon dioxide (co2) emission model and mitigation plan for new cities</td></tr><tr><td>Source:</td><td>[no source], 45(5)</td></tr></table>",https://doi.org/10.1177/0265813516686972,-0.0934,0.0573,8,18,10
56,gielen e.,"<table><tr><td>Authors:</td><td>gielen e.; riutort-mayol g.; palencia-jiménez j.s.; cantarino i.</td></tr><tr><td>Title:</td><td>an urban sprawl index based on multivariate and bayesian factor analysis with application at the municipality level in valencia</td></tr><tr><td>Source:</td><td>[no source], 45(5)</td></tr></table>",https://doi.org/10.1177/2399808317690148,-0.0379,-0.6631,5,30,17
57,jang s.,"<table><tr><td>Authors:</td><td>jang s.; rasouli s.; timmermans h.</td></tr><tr><td>Title:</td><td>accounting for cognitive effort in random regret-only models: effect of attribute variation and choice set size</td></tr><tr><td>Source:</td><td>[no source], 45(5)</td></tr></table>",https://doi.org/10.1177/0265813516688687,-0.9921,-0.1837,8,20,3
58,liu x. (a),"<table><tr><td>Authors:</td><td>liu x.; derudder b.; wang m.</td></tr><tr><td>Title:</td><td>polycentric urban development in china: a multi-scale analysis</td></tr><tr><td>Source:</td><td>[no source], 45(5)</td></tr></table>",https://doi.org/10.1177/2399808317690155,-0.2994,-0.3655,5,37,29
59,salvati l.,"<table><tr><td>Authors:</td><td>salvati l.; tombolini i.; ippolito a.; carlucci m.</td></tr><tr><td>Title:</td><td>land quality and the city: monitoring urban growth and land take in 76 southern european metropolitan areas</td></tr><tr><td>Source:</td><td>[no source], 45(4)</td></tr></table>",https://doi.org/10.1177/0265813516684827,-0.1129,-0.6411,5,29,20
60,knöll m.,"<table><tr><td>Authors:</td><td>knöll m.; neuheuser k.; cleff t.; rudolph-cleff a.</td></tr><tr><td>Title:</td><td>a tool to predict perceived urban stress in open public spaces</td></tr><tr><td>Source:</td><td>[no source], 45(4)</td></tr></table>",https://doi.org/10.1177/0265813516686971,-0.4439,-0.004,5,30,10
61,plasencia-lozano p.,"<table><tr><td>Authors:</td><td>plasencia-lozano p.</td></tr><tr><td>Title:</td><td>an approach to determine the frequency of bridges in an urban context: the case of european cities</td></tr><tr><td>Source:</td><td>[no source], 45(4)</td></tr></table>",https://doi.org/10.1177/0265813516677291,-0.694,-0.086,5,57,8
62,sarkar s.,"<table><tr><td>Authors:</td><td>sarkar s.; phibbs p.; simpson r.; wasnik s.</td></tr><tr><td>Title:</td><td>the scaling of income distribution in australia: possible relationships between urban allometry, city size, and economic inequality</td></tr><tr><td>Source:</td><td>[no source], 45(4)</td></tr></table>",https://doi.org/10.1177/0265813516676488,-0.6012,-0.2609,2,25,9
63,spyratos s.,"<table><tr><td>Authors:</td><td>spyratos s.; stathakis d.</td></tr><tr><td>Title:</td><td>evaluating the services and facilities of european cities using crowdsourced place data</td></tr><tr><td>Source:</td><td>[no source], 45(4)</td></tr></table>",https://doi.org/10.1177/0265813516686070,-0.4935,0.2931,4,170,16
64,boessen a.,"<table><tr><td>Authors:</td><td>boessen a.; hipp j.r.; butts c.t.; nagle n.n.; smith e.j.</td></tr><tr><td>Title:</td><td>the built environment, spatial scale, and social networks: do land uses matter for personal network structure?</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317690158,-0.8351,-0.1296,8,77,15
65,zhao m. (a),"<table><tr><td>Authors:</td><td>zhao m.; wang y.</td></tr><tr><td>Title:</td><td>measuring segregation between rural migrants and local residents in urban china: an integrated spatio-social network analysis of kecun in guangzhou</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317710658,-0.8398,-0.4852,7,70,20
66,guan c.h.,"<table><tr><td>Authors:</td><td>guan c.h.; rowe p.g.</td></tr><tr><td>Title:</td><td>in pursuit of a well-balanced network of cities and towns: a case study of the changjiang delta region in china</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317696073,-0.1038,-0.5947,5,129,15
67,zhao m. (b),"<table><tr><td>Authors:</td><td>zhao m.; lin y.; derudder b.</td></tr><tr><td>Title:</td><td>demonstration of public participation and communication through social media in the network society within shanghai</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317690154,-0.0555,-0.0661,10,32,10
68,kim c.,"<table><tr><td>Authors:</td><td>kim c.; parent o.; vom hofe r.</td></tr><tr><td>Title:</td><td>the role of peer effects and the built environment on individual travel behavior</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317740354,-0.945,-0.0214,8,28,13
69,gibbons j.,"<table><tr><td>Authors:</td><td>gibbons j.; nara a.; appleyard b.</td></tr><tr><td>Title:</td><td>exploring the imprint of social media networks on neighborhood community through the lens of gentrification</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317728289,-0.7708,-0.0986,7,77,15
70,zhou x.,"<table><tr><td>Authors:</td><td>zhou x.; yeh a.g.o.; li w.; yue y.</td></tr><tr><td>Title:</td><td>a commuting spectrum analysis of the jobs–housing balance and self-containment of employment with mobile phone location big data</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/2399808317707967,-1.124,0.0769,8,108,26
71,seresinhe c.i.,"<table><tr><td>Authors:</td><td>seresinhe c.i.; moat h.s.; preis t.</td></tr><tr><td>Title:</td><td>quantifying scenic areas using crowdsourced data</td></tr><tr><td>Source:</td><td>[no source], 45(3)</td></tr></table>",https://doi.org/10.1177/0265813516687302,-0.3748,0.2563,4,167,40
72,kweon b.-s. (a),"<table><tr><td>Authors:</td><td>kweon b.-s.; mohai p.; lee s.; sametshaw a.m.</td></tr><tr><td>Title:</td><td>proximity of public schools to major highways and industrial facilities, and students’ school performance and health hazards</td></tr><tr><td>Source:</td><td>[no source], 45(2)</td></tr></table>",https://doi.org/10.1177/0265813516673060,-0.4084,-0.235,8,16,3
73,hanaoka k.,"<table><tr><td>Authors:</td><td>hanaoka k.</td></tr><tr><td>Title:</td><td>new insights on relationships between street crimes and ambient population: use of hourly population data estimated from mobile phone users’ locations</td></tr><tr><td>Source:</td><td>[no source], 45(2)</td></tr></table>",https://doi.org/10.1177/0265813516672454,-0.771,0.0447,2,57,13
74,rigolon a.,"<table><tr><td>Authors:</td><td>rigolon a.; németh j.</td></tr><tr><td>Title:</td><td>a quality index of parks for youth (quinpy): evaluating urban parks through geographic information systems</td></tr><tr><td>Source:</td><td>[no source], 45(2)</td></tr></table>",https://doi.org/10.1177/0265813516672212,-0.7508,-0.2702,7,9,6
75,yoshimura y. (a),"<table><tr><td>Authors:</td><td>yoshimura y.; sobolevsky s.; bautista hobin j.n.; ratti c.; blat j.</td></tr><tr><td>Title:</td><td>urban association rules: uncovering linked trips for shopping behavior</td></tr><tr><td>Source:</td><td>[no source], 45(2)</td></tr></table>",https://doi.org/10.1177/0265813516676487,-0.597,0.5002,8,64,19
76,nicolau r.,"<table><tr><td>Authors:</td><td>nicolau r.; cavaco c.</td></tr><tr><td>Title:</td><td>automated delimitation of urban areas comprising small-sized towns – comparison of two methodologies applied to mainland portugal</td></tr><tr><td>Source:</td><td>[no source], 45(1)</td></tr></table>",https://doi.org/10.1177/0265813516668856,-0.2163,-0.4157,5,31,8
77,kim j.-h.,"<table><tr><td>Authors:</td><td>kim j.-h.; li w.; newman g.; kil s.-h.; park s.y.</td></tr><tr><td>Title:</td><td>the influence of urban landscape spatial patterns on single-family housing prices</td></tr><tr><td>Source:</td><td>[no source], 45(1)</td></tr></table>",https://doi.org/10.1177/0265813516663932,0.0579,-0.4348,5,142,40
78,beynon m.j.,"<table><tr><td>Authors:</td><td>beynon m.j.; crawley a.; munday m.</td></tr><tr><td>Title:</td><td>measuring and understanding the differences between urban and rural areas</td></tr><tr><td>Source:</td><td>[no source], 43(6)</td></tr></table>",https://doi.org/10.1177/0265813515605096,-1.1712,-0.5748,7,1,1
79,al_sayed k.,"<table><tr><td>Authors:</td><td>al_sayed k.; penn a.</td></tr><tr><td>Title:</td><td>on the nature of urban dependencies: how manhattan and barcelona reinforced a natural organisation despite planning intentionality</td></tr><tr><td>Source:</td><td>[no source], 43(6)</td></tr></table>",https://doi.org/10.1177/0265813516650200,-0.5576,0.2334,5,88,22
80,macedo j.,"<table><tr><td>Authors:</td><td>macedo j.; haddad m.a.</td></tr><tr><td>Title:</td><td>equitable distribution of open space: using spatial analysis to evaluate urban parks in curitiba, brazil</td></tr><tr><td>Source:</td><td>[no source], 43(6)</td></tr></table>",https://doi.org/10.1177/0265813515603369,-0.6591,-0.2607,8,168,20
81,eizenberg e.,"<table><tr><td>Authors:</td><td>eizenberg e.; shilon m.</td></tr><tr><td>Title:</td><td>pedagogy for the new planner: refining the qualitative toolbox</td></tr><tr><td>Source:</td><td>[no source], 43(6)</td></tr></table>",https://doi.org/10.1177/0265813515604477,-0.7332,-0.499,5,16,11
82,partanen j.,"<table><tr><td>Authors:</td><td>partanen j.</td></tr><tr><td>Title:</td><td>liquid planning, wiki-design—learning from the case pispala</td></tr><tr><td>Source:</td><td>[no source], 43(6)</td></tr></table>",https://doi.org/10.1177/0265813516647965,-0.337,-0.0457,5,68,12
83,ganis m.,"<table><tr><td>Authors:</td><td>ganis m.; minnery j.; mateo-babiano i.</td></tr><tr><td>Title:</td><td>planning people–places: a small world network paradigm for masterplanning with people in mind</td></tr><tr><td>Source:</td><td>[no source], 43(6)</td></tr></table>",https://doi.org/10.1177/0265813515602260,-0.4059,-0.0202,5,97,21
84,loures l.,"<table><tr><td>Authors:</td><td>loures l.; panagopoulos t.; burley j.b.</td></tr><tr><td>Title:</td><td>assessing user preferences on post-industrial redevelopment</td></tr><tr><td>Source:</td><td>[no source], 43(5)</td></tr></table>",https://doi.org/10.1177/0265813515599981,0.224,-0.1271,10,2,2
